"All CPU Charts 2015","[03] SiSoftware Sandra 2015 ","Dhrystone GIPS","7431","prod-23","Intel Core i5-3470 (Ivy Bridge 4c/4t)","3.2 GHz (Turbo 3.6 GHz), DDR3-1600, 1 MB L2, 6 MB L3",91
"All CPU Charts 2015","[03] SiSoftware Sandra 2015 ","Dhrystone GIPS","7440","prod-24","Intel Core i7-930 (Bloomfield 4c/8t)","2.8 GHz (Turbo 3.06 GHz), DDR3-1066, 1 MB L2, 8 MB L3",82.07
"All CPU Charts 2015","[03] SiSoftware Sandra 2015 ","Dhrystone GIPS","7441","prod-25","Intel Core i7-920 (Bloomfield 4c/8t)","2.67 GHz (Turbo 2.93 GHz), DDR3-1066, 1 MB L2, 8 MB L3",78.74
"All CPU Charts 2015","[03] SiSoftware Sandra 2015 ","Dhrystone GIPS","7429","prod-26","Intel Core i5-3330 (Ivy Bridge 4c/8t)","3 GHz (Turbo 3.2 GHz), DDR3-1600, 1 MB L2, 8 MB L3",78
"All CPU Charts 2015","[03] SiSoftware Sandra 2015 ","Dhrystone GIPS","7445","prod-27","AMD A10-7850K (Kaveri 4c/4t)","3.7 GHz (Turbo 4 GHz), DDR3-2133, 4 MB L2",67.52
"All CPU Charts 2015","[03] SiSoftware Sandra 2015 ","Dhrystone GIPS","7454","prod-28","AMD FX-6100 (Zambezi 6c/6t)","3.3 GHz (Turbo 3.9 GHz), DDR3-1866, 6 MB L2, 8 MB L3",67.38
"All CPU Charts 2015","[03] SiSoftware Sandra 2015 ","Dhrystone GIPS","7435","prod-29","Intel Core i5-2400s (Sandy Bridge 4c/4t)","2.5 GHz (Turbo 3.3 GHz), DDR3-1333, 1 MB L2, 6 MB L3",67
"All CPU Charts 2015","[03] SiSoftware Sandra 2015 ","Dhrystone GIPS","7459","prod-30","AMD Phenom II X6 1100T (Thuban 6c/6t)","3.3 GHz (Turbo 3.7 GHz), DDR3-1333, 3 MB L2, 6 MB L3",65.7
"All CPU Charts 2015","[03] SiSoftware Sandra 2015 ","Dhrystone GIPS","7446","prod-31","AMD A10-7800 (Kaveri 4c/4t)","3.5 GHz (Turbo 3.9 GHz), DDR3-2134, 4 MB L2",64.57
"All CPU Charts 2015","[03] SiSoftware Sandra 2015 ","Dhrystone GIPS","7447","prod-32","AMD A10-7700K (Kaveri 4c/4t)","3.4 GHz (Turbo 3.8 GHz), DDR3-2135, 4 MB L2",63.76
"All CPU Charts 2015","[03] SiSoftware Sandra 2015 ","Dhrystone GIPS","7424","prod-33","Intel Core i3-4330 (Haswell  2c/4t)","3.5 GHz, DDR3-1600, 0.5 MB L2, 4 MB L3",62.65
"All CPU Charts 2015","[03] SiSoftware Sandra 2015 ","Dhrystone GIPS","7432","prod-34","Intel Core i3-3220 (Ivy Bridge 2c/4t)","3.3 GHz, DDR3-1600, 0.5 MB L2, 3 MB L3",57
"All CPU Charts 2015","[03] SiSoftware Sandra 2015 ","Dhrystone GIPS","7460","prod-35","AMD Phenom II X6 1055T (Thuban 6c/6t)","2.8 GHz (Turbo 3.3 GHz), DDR3-1333, 3 MB L2, 6 MB L3",55.66
