"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7351","prod-26","Zotac GeForce GTX 980 Amp! Omega Edition 4GB ","GTX 980, 4GB GDDR5, 1203 MHz ",14081
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7350","prod-27","MSI GeForce GTX 980 Gaming 4G 4GB","GTX 980, 4GB GDDR5, 1216 MHz ",13927
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7398","prod-28","PNY GeForce GTX 760 XLR8 Design 2GB SLI","GTX 760, 2GB GDDR5, 980 Mhz+ SLI",13811
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7349","prod-29","Asus GeForce GTX 980 STRIX DCII OC 4GB ","GTX 980, 4GB GDDR5, 1178MHz ",13706
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7265","prod-30","Nvidia GeForce GTX 980 4GB Reference","GTX 980, 4GB GDDR5, 1127 MHz ",13297
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7251","prod-31","Nvidia GeForce GTX 690 2x 2GB Reference","GTX 690, 2x 2GB GDDR5, 915 MHz ",13021
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7321","prod-32","Gigabyte GeForce GTX Titan Black Windforce 6GB OC","GTX Titan, 6GB GDDR5, 1056 MHz ",12808
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7368","prod-33","Galax GeForce GTX 970 Hall Of Fame 4GB ","GTX 970, 4GB GDDR5, 1228 MHz ",12569
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7328","prod-34","Gigabyte GeForce GTX 780 Ti OC Windforce 3GB","GTX 780 Ti, 3GB GDDR5, 1020 MHz ",12472
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7263","prod-35","Nvidia GeForce GTX Titan Black GHz Edition 6GB ","GTX Titan Black, 6GB GDDR5, 1006 MHz ",12429
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7320","prod-36","Gigabyte GeForce GTX Titan Black Windforce 6GB ","GTX Titan, 6GB GDDR5, 1006 MHz ",12429
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7252","prod-37","Nvidia GeForce GTX Titan Black 6GB Reference","GTX Titan Black, 6GB GDDR5, 1006 MHz ",12350
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7296","prod-38","HIS Radeon R9 290X IceQ Water Cooled 4GB","R9 290X, 4GB GDDR5,  1100 MHz",12295
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7345","prod-39","Gigabyte GeForce GTX 970 Gaming G1 OC 4GB","GTX 970, 4GB GDDR5, 1178 MHz ",12164
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7356","prod-40","Inno3D GeForce GTX 970 iChill Ultra 4GB ","GTX 970, 4GB GDDR5, 1178 MHz ",12115
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7477","prod-41","Asus GeForce GTX 970 Strix DCII OC 4GB ","GTX 970, 4GB GDDR5, 1114 MHz+",12100
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7352","prod-42","Palit GeForce GTX 970 JetStream 4GB","GTX 970, 4GB GDDR5, 1152 MHz ",12097
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7294","prod-43","MSI Radeon R9 290X Lightning 4GB","R9 290X, 4GB GDDR5,  1080 MHz",12006
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7362","prod-44","Zotac GeForce GTX 970 Amp! Extreme Edition 4GB","GTX 970, 4GB GDDR5, 1203 MHz ",11982
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7293","prod-45","HIS null","R9 290X, 4GB GDDR5,  1060 MHz",11896
